show_id,title,type,actor
s1,Dick Johnson Is Dead,Movie,Unknown
s2,Blood & Water,TV Show,Ama Qamata
s2,Blood & Water,TV Show,Khosi Ngema
s2,Blood & Water,TV Show,Gail Mabalane
s2,Blood & Water,TV Show,Thabang Molaba
s2,Blood & Water,TV Show,Dillon Windvogel
s2,Blood & Water,TV Show,Natasha Thahane
s2,Blood & Water,TV Show,Arno Greeff
s2,Blood & Water,TV Show,Xolile Tshabalala
s2,Blood & Water,TV Show,Getmore Sithole
s2,Blood & Water,TV Show,Cindy Mahlangu
s2,Blood & Water,TV Show,Ryle De Morny
s2,Blood & Water,TV Show,Greteli Fincham
s2,Blood & Water,TV Show,Sello Maake Ka-Ncube
s2,Blood & Water,TV Show,Odwa Gwanya
s2,Blood & Water,TV Show,Mekaila Mathys
s2,Blood & Water,TV Show,Sandi Schultz
s2,Blood & Water,TV Show,Duane Williams
s2,Blood & Water,TV Show,Shamilla Miller
s2,Blood & Water,TV Show,Patrick Mofokeng
s3,Ganglands,TV Show,Sami Bouajila
s3,Ganglands,TV Show,Tracy Gotoas
s3,Ganglands,TV Show,Samuel Jouy
s3,Ganglands,TV Show,Nabiha Akkari
s3,Ganglands,TV Show,Sofia Lesaffre
s3,Ganglands,TV Show,Salim Kechiouche
s3,Ganglands,TV Show,Noureddine Farihi
s3,Ganglands,TV Show,Geert Van Rampelberg
s3,Ganglands,TV Show,Bakary Diombera
s4,Jailbirds New Orleans,TV Show,Unknown
s5,Kota Factory,TV Show,Mayur More
s5,Kota Factory,TV Show,Jitendra Kumar
s5,Kota Factory,TV Show,Ranjan Raj
s5,Kota Factory,TV Show,Alam Khan
s5,Kota Factory,TV Show,Ahsaas Channa
s5,Kota Factory,TV Show,Revathi Pillai
s5,Kota Factory,TV Show,Urvi Singh
s5,Kota Factory,TV Show,Arun Kumar
s6,Midnight Mass,TV Show,Kate Siegel
s6,Midnight Mass,TV Show,Zach Gilford
s6,Midnight Mass,TV Show,Hamish Linklater
s6,Midnight Mass,TV Show,Henry Thomas
s6,Midnight Mass,TV Show,Kristin Lehman
s6,Midnight Mass,TV Show,Samantha Sloyan
s6,Midnight Mass,TV Show,Igby Rigney
s6,Midnight Mass,TV Show,Rahul Kohli
s6,Midnight Mass,TV Show,Annarah Cymone
s6,Midnight Mass,TV Show,Annabeth Gish
s6,Midnight Mass,TV Show,Alex Essoe
s6,Midnight Mass,TV Show,Rahul Abburi
s6,Midnight Mass,TV Show,Matt Biedel
s6,Midnight Mass,TV Show,Michael Trucco
s6,Midnight Mass,TV Show,Crystal Balint
s6,Midnight Mass,TV Show,Louis Oliver
s7,My Little Pony: A New Generation,Movie,Vanessa Hudgens
s7,My Little Pony: A New Generation,Movie,Kimiko Glenn
s7,My Little Pony: A New Generation,Movie,James Marsden
s7,My Little Pony: A New Generation,Movie,Sofia Carson
s7,My Little Pony: A New Generation,Movie,Liza Koshy
s7,My Little Pony: A New Generation,Movie,Ken Jeong
s7,My Little Pony: A New Generation,Movie,Elizabeth Perkins
s7,My Little Pony: A New Generation,Movie,Jane Krakowski
s7,My Little Pony: A New Generation,Movie,Michael McKean
s7,My Little Pony: A New Generation,Movie,Phil LaMarr
s8,Sankofa,Movie,Kofi Ghanaba
s8,Sankofa,Movie,Oyafunmike Ogunlano
s8,Sankofa,Movie,Alexandra Duah
s8,Sankofa,Movie,Nick Medley
s8,Sankofa,Movie,Mutabaruka
s8,Sankofa,Movie,Afemo Omilami
s8,Sankofa,Movie,Reggie Carter
s8,Sankofa,Movie,Mzuri
s9,The Great British Baking Show,TV Show,Mel Giedroyc
s9,The Great British Baking Show,TV Show,Sue Perkins
s9,The Great British Baking Show,TV Show,Mary Berry
s9,The Great British Baking Show,TV Show,Paul Hollywood
s10,The Starling,Movie,Melissa McCarthy
s10,The Starling,Movie,Chris O'Dowd
s10,The Starling,Movie,Kevin Kline
s10,The Starling,Movie,Timothy Olyphant
s10,The Starling,Movie,Daveed Diggs
s10,The Starling,Movie,Skyler Gisondo
s10,The Starling,Movie,Laura Harrier
s10,The Starling,Movie,Rosalind Chao
s10,The Starling,Movie,Kimberly Quinn
s10,The Starling,Movie,Loretta Devine
s10,The Starling,Movie,Ravi Kapoor
