show_id,title,type,country
s1,Dick Johnson Is Dead,Movie,United States
s2,Blood & Water,TV Show,South Africa
s3,Ganglands,TV Show,Unknown
s4,Jailbirds New Orleans,TV Show,Unknown
s5,Kota Factory,TV Show,India
s6,Midnight Mass,TV Show,Unknown
s7,My Little Pony: A New Generation,Movie,Unknown
s8,Sankofa,Movie,United States
s8,Sankofa,Movie,Ghana
s8,Sankofa,Movie,Burkina Faso
s8,Sankofa,Movie,United Kingdom
s8,Sankofa,Movie,Germany
s8,Sankofa,Movie,Ethiopia
s9,The Great British Baking Show,TV Show,United Kingdom
s10,The Starling,Movie,United States
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,Unknown
s12,Bangkok Breaking,TV Show,Unknown
s13,Je Suis Karl,Movie,Germany
s13,Je Suis Karl,Movie,Czech Republic
s14,Confessions of an Invisible Girl,Movie,Unknown
s15,Crime Stories: India Detectives,TV Show,Unknown
s16,Dear White People,TV Show,United States
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,Unknown
s18,Falsa identidad,TV Show,Mexico
s19,Intrusion,Movie,Unknown
s20,Jaguar,TV Show,Unknown
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Unknown
s22,Resurrection: Ertugrul,TV Show,Turkey
s23,Avvai Shanmughi,Movie,Unknown
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Unknown
s25,Jeans,Movie,India
s26,Love on the Spectrum,TV Show,Australia
s27,Minsara Kanavu,Movie,Unknown
s28,Grown Ups,Movie,United States
s29,Dark Skies,Movie,United States
s30,Paranoia,Movie,United States
s30,Paranoia,Movie,India
s30,Paranoia,Movie,France
s31,Ankahi Kahaniya,Movie,Unknown
s32,Chicago Party Aunt,TV Show,Unknown
s33,Sex Education,TV Show,United Kingdom
s34,Squid Game,TV Show,Unknown
s35,Tayo and Little Wizards,TV Show,Unknown
s36,The Father Who Moves Mountains,Movie,Unknown
s37,The Stronghold,Movie,Unknown
s38,Angry Birds,TV Show,Finland
s39,Birth of the Dragon,Movie,China
s39,Birth of the Dragon,Movie,Canada
s39,Birth of the Dragon,Movie,United States
s40,Chhota Bheem,TV Show,India
s41,He-Man and the Masters of the Universe,TV Show,United States
s42,Jaws,Movie,United States
s43,Jaws 2,Movie,United States
s44,Jaws 3,Movie,United States
s45,Jaws: The Revenge,Movie,United States
s46,My Heroes Were Cowboys,Movie,Unknown
s47,Safe House,Movie,South Africa
s47,Safe House,Movie,United States
s47,Safe House,Movie,Japan
s48,The Smart Money Woman,TV Show,Unknown
s49,Training Day,Movie,United States
s50,Castle and Castle,TV Show,Nigeria
s51,Dharmakshetra,TV Show,India
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Japan
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Japan
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,Japan
s55,InuYasha the Movie: Affections Touching Across Time,Movie,Japan
s56,Nailed It,TV Show,United States
s57,Naruto Shippuden the Movie: Blood Prison,Movie,Japan
s58,Naruto ShippÃ»den the Movie: Bonds,Movie,Japan
s59,Naruto ShippÃ»den the Movie: The Will of Fire,Movie,Japan
s60,Naruto Shippuden: The Movie,Movie,Japan
s61,Naruto Shippuden: The Movie: The Lost Tower,Movie,Japan
s62,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Japan
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Japan
s64,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Japan
s65,Nightbooks,Movie,Unknown
s66,Numberblocks,TV Show,United Kingdom
s67,Raja Rasoi Aur Anya Kahaniyan,TV Show,India
s68,Saved by the Bell,TV Show,United States
s69,Schumacher,Movie,Unknown
s70,Stories by Rabindranath Tagore,TV Show,India
s71,Too Hot To Handle: Latino,TV Show,Unknown
s72,A StoryBots Space Adventure,Movie,Unknown
s73,Jack Whitehall: Travels with My Father,TV Show,United Kingdom
s74,King of Boys,Movie,Nigeria
s75,The World's Most Amazing Vacation Rentals,TV Show,Unknown
s76,You vs. Wild: Out Cold,Movie,Unknown
s77,Yowamushi Pedal,TV Show,Japan
s78,Little Singham - Black Shadow,Movie,Unknown
s79,Tughlaq Durbar,Movie,Unknown
s80,Tughlaq Durbar (Telugu),Movie,Unknown
s81,Firedrake the Silver Dragon,Movie,Unknown
s82,Kate,Movie,United States
s83,Lucifer,TV Show,United States
s84,Metal Shop Masters,TV Show,Unknown
s85,Omo Ghetto: the Saga,Movie,Nigeria
s86,PokÃ©mon Master Journeys: The Series,TV Show,Unknown
s87,Prey,Movie,Unknown
s88,Titipo Titipo,TV Show,Unknown
s89,Blood Brothers: Malcolm X & Muhammad Ali,Movie,Unknown
s90,Mighty Raju,TV Show,Unknown
s91,Paradise Hills,Movie,Spain
s91,Paradise Hills,Movie,United States
s92,The Women and the Murderer,Movie,France
s93,Into the Night,TV Show,Belgium
s94,JJ+E,Movie,Unknown
s95,Show Dogs,Movie,United Kingdom
s95,Show Dogs,Movie,United States
s96,The Circle,TV Show,United States
s96,The Circle,TV Show,United Kingdom
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,United States
s98,Kid Cosmic,TV Show,United States
s99,Octonauts: Above & Beyond,TV Show,United Kingdom
s100,On the Verge,TV Show,France
s100,On the Verge,TV Show,United States
s101,Tobot Galaxy Detectives,TV Show,Unknown
s102,Untold: Breaking Point,Movie,United States
s103,Countdown: Inspiration4 Mission to Space,TV Show,Unknown
s104,Shadow Parties,Movie,Unknown
s105,Tayo the Little Bus,TV Show,South Korea
s106,Angamaly Diaries,Movie,India
s107,Bunk'd,TV Show,United States
s108,A Champion Heart,Movie,United States
s109,Dive Club,TV Show,Australia
s110,La casa de papel,TV Show,Spain
s111,Money Heist: From Tokyo to Berlin,TV Show,Unknown
s112,Sharkdog,TV Show,United States
s112,Sharkdog,TV Show,Singapore
s113,Worth,Movie,Unknown
s114,Afterlife of the Party,Movie,Unknown
s115,Anjaam,Movie,India
s116,Bright Star,Movie,United Kingdom
s116,Bright Star,Movie,Australia
s116,Bright Star,Movie,France
s117,Dhanak,Movie,India
s118,Final Account,Movie,United Kingdom
s118,Final Account,Movie,United States
s119,Gurgaon,Movie,India
s120,Here and There,Movie,Unknown
s121,Heroes of Goo Jit Zu,TV Show,Australia
s122,Hotel Del Luna,TV Show,Unknown
s123,In the Cut,Movie,United Kingdom
s123,In the Cut,Movie,Australia
s123,In the Cut,Movie,France
s123,In the Cut,Movie,United States
s124,Luv Kushh,TV Show,Unknown
s125,Pororo - The Little Penguin,TV Show,South Korea
